035	(die) Windel	hafaada, bambers	diaper / nappy	une couche/ une couche-culotte	Plenice	(de) luier; (het) verband	لنگوٹ / ڈایپر	Langot / Diaper / 	ডাইপার	daipar	پوشک	pooshak	اوړني		Pampers/pelena	pelena	pielucha/ Pampers	Пелена (Pelena) / 	Пеленка / Подгузник	S: plienka / C: plenka / gatě	دايبي 	pelena / пелена	Cilik	S: Blöja N: Bleie / D: Ble	Vaippa		Pannolino	Bebek bezi	Pañal	Pelenka	Fralda	Pána	Πάνα	Pampers/scutec	Sauskelnės / Vystyklas	"diaper" (pronounced as in English)	Tã giấy			
036	Ich muss anrufen / telefonieren	Bihaja ijra'a moukalama	I need to make a phone call	je dois téléphoner.	Telefonirati moram	Ik moet telefoneren.	مجھے فون کرنا ہے۔	Mujhey phone karna hai	আমাকে একটা ফোন করতে হবে	amake ekta fon korte hobe	باید تلفن کنم (زنگ بزنم)	baayad telefun konam/zang bezanam	زه غواړم تیلفون وکړم.     	za ghwarram telefon u-krram	Më duhet të bëj një telefonatë	Moram telefonirati. / Moram da telefoniram.	Muszę zadzwonić	Мора да телефонирам (Mora da telefoniram)	Мне нужно позвонить	S: Potrebujem si zatelefonovať / Potrebujem si zavolať / C: Potřebuji si zatelefonovat / Potřebuji si zavolat	پیویسته ته له فونیک بکه م	Tryabva da se obadya / Трябва да се обадя	Divê ez telefon bikim	S: Jag måste ringa N: Jeg må ringe / D: Jeg skal ringe	Minun täytyy soittaa		Devo chiamare / telefonare	telefon etmem lazım	Necesito hacer una llamada telefónica 	Szeretnék telefonalni	Preciso de fazer uma chamada / Preciso fazer um telefonema / Preciso telefonar	Prépi na tilefoníso / Prépi na káno éna tilefónima	Πρέπει να τηλεφωνήσω / Πρέπει να κάνω ένα τηλεφώνημα	Trebuie să telefonez	Man reikia paskambinti	Kailangan kong tumawag	Tôi cần phải gọi điện thoại			
037	Wo kann ich beten?	 ayna bi 'imkani an 'usalli	Where can I pray?	où puis-je prier?	Kje lahko molim?	Waar kan ik bidden?	میں کہاں نماز پڑھ سکتی/سکتا ہوں؟	Mei kahan namaz parh sakti/sakta (weiblich/maennlich, m/f) hoo?	আমি কোথায় নামাজ পড়তে পারি? / আমি কোথায় প্রার্থনা করতে পারি?	ami kothay namaj porte pari?	کجا نماز خوانده می توانم؟	Kojaa namaaz khaandah metaanam?	چیرته کولای شم لمونځ وکړم؟     	cherta kawalay sham lmundz u-krram?	Ku mund të lutem/ falem?	Gdје se mogu pomoliti? / Gde mogu da se pomolim?	Gdzie mogę się pomodlić?	Каде може да се молам? (Kade mozhe da se molam?)	Где я могу помолиться?	S: Kde sa môžem pomodliť?  / C: Kde se mohu pomodlit?	 له کوی ده توانم نویز بکه م؟	Kude moga da se pomolya? / Къде мога да се помоля?	Li ku derê ez dikarim nimêj bikim	S: Var kan jag be? N: Hvor kan jeg be? / D: Hvor kan jeg bede?	Missä voin rukoilla?		Dove posso pregare?	nerede namaz kılabilirim?	¿Dónde puedo rezar?	Hol lehet imádkozni	Onde posso rezar?	Pu boró na prosefhithó	Πού μπορώ να προσευχηθώ;	Unde pot să mă rog?	Kur aš galiu melstis?	Saan ako p(u)wedeng magdasal?	Tôi có thể cầu nguyện ở đâu?			
	Wo kann ich _____ kaufen?	Ayna youmkinouni elshira'a?	Where can I buy_____?	où puis-je acheter...?	Kje lahko kupim...?	Waar kan ik _____ kopen?	میں کہاں ۔۔۔۔ خرید سکتی/سکتا ہوں؟	Mei ... kahan kharid sakti/sakta (f/m) hoo?	...কোথায় কিনতে পাওয়া যায়?	.... kothay kinte pawa jay 	ــــــــ از کجا بخرم؟	_____ az koja bekharam?	چیرته ... پیرودلی/اخیستلی شم؟		Ku mund të blej ____?	Gdje mogu kupiti...? / Gde mogu da kupim...?	Gdzie mogę kupić______?	Каде можам да купам___? (Kade mozham da kupam____?)	Где мне можно купить_______?	S: Kde kúpim... ? / C: Kde koupím...?	له کوی ده توانم ......بکرم؟	Kade moga da kupya...?/Къде мога да купя...?	Ez dikarim li ku derê ...bistînim?	S: Var kan jag köpa ___ N: Hvor kan jeg kjøpe ___ D: Hvor kan jeg købe___	Mistä voin ostaa....		Dove posso comprare _______ ?	_____ nereden satın alabilirim?	¿Dónde puedo comprar____?	Hol vásárolhatok _____?	Onde posso comprar...?	Pu boró na agoráso...?	Πού μπορώ να αγοράσω ... ;	De unde pot cumpăra?	Kur aš galiu nusipirkti ___?	Saan ako p(u)wedeng bumili ng...?	Tôi có thể mua ... ở đâu?			
038	Wo kann ich _____ finden?	wain bla'ei...?	Where can I find____?	où puis-je trouver...?	Kje lahko najdem...?	Waar kan ik _____ vinden?	۔۔۔۔۔ کہاں ملےگا / ملےگی؟	xxx kahan milega/milegi?	 ....কোথায় পাব?	... kothay pabo?	ــــــــ کجا پیدا کنم؟	_____ koja payda konam?	چیرته ... موندلای/پیدا کولای شم؟		Ku mund të gjej ___?	Gdje mogu naći...? / Gde mogu da nađem...?	Gdzie mogę znaleźć_____?	Каде можам да најдам_____? (Kade mozham da najdam_____?	Где я могу найдти____?	S: Kde nájdem...?  / C: Kde najdu...?	له کوی ......بدؤزمه وه؟	Kade moga da namerya...? / Къде мога да намеря_____?	Ez dikarim li ku derê...bibînim?	S: Var kan jag hitta ___? N: Hvor kan jeg finne ___? D: Hvor kan jeg finde___	Mistä löydän....		Dove posso trovare _____?	_____ nerede bulabilirim?	¿Dónde puedo encontrar___?	Hol találok….?	Onde posso encontrar...?	Pu boró na vro...?	Πού μπορώ να βρω ... ;	Unde pot găsi...	Kur aš galiu rasti ___?	Saan ako p(u)wedeng makahanap ng...?	Tôi có thể tìm thấy ... ở đâu?			
039	Wie spät ist es?	kam al-sa'ah	What time is it?	Quelle heure est-il?	Koliko je ura?	Hoe laat is het?	کتنا بجا ہے؟	Kitna baja hai?	ক'টা বাজে?	kota baje	چند بجا است؟	Chand bajaa ast?	څو بجې دي؟		Sa është ora?	Koliko je sati?	Która godzina?	Колку е часот? (Kolku e chasot?)	Cколько времени?/Который час?	S: Koľko je hodín ? / C: Kolik je hodin?	سه عات چه نده ؟	Kolko e chasa?/Колко е часа?	Saet çend e?	S: Vad är klockan? N: Hva er klokken? / D: Hvad er klokken?	Mitä kello on?		Che ora è? / Che ore sono?	saat kaç	¿Qué hora es?	Mennyi az idő?	Que horas são?	Ti óra íne?	Τι ώρα είναι;	Cât e ceasul?	Kiek dabar valandų?	Anong oras na?	Bây giờ là mấy giờ rồi?			
040	Ich muss schlafen / Wir müssen schlafen	Ana/ Nahnu bihaja lilnawm	I (we) need to sleep	J'ai besoin de dormir. / Nous avons besoin de dormir.	Spati moram	Ik moet slapen / Wij moeten slapen.	مجھے(ہمیں) سونا ہے	Mujhey (humey) sona hai	আমাকে ঘুমাতে হবে	amake ghumate hobe	باید خواب کنم / کنیم.	Baayad khaaw konam/konim.	مونږ باید بیده شو   	mung bayad bida shu	Më duhet të flë/ Na duhet të flemë	Moram(o) spavati. (sg/pl) / Moramo da spavamo. /  / 	Chce mi (sg) / nam (pl) się spać.	Мора да спијам (спиеме) (Mora da spijam (spieme))	Мне / Нам нужно спать	S: Musím ísť spať. / Potrebujem sa vyspať.  / C: Musím jít spát / Potřebuji se vyspat	من, ئيمه, پیویسته بنووین	Trjabwa da pospja; trjabwa da pospim / Трябва да поспя; Трябва да поспим	Divê ez razim	S: Jag måste sova / Vi måste sova N: Jeg må sove/Vi må sove / D: Jeg/Vi skal sove	Minun pitää nukkua / / päästä nukkumaan.		Devo/dobbiamo dormire / Ho/abbiamo sonno	Uykum(uz) var	Necesito (necesitamos) dormir / Tengo sueño	Aludni szeretnénk	Preciso de dormir	Prépi na kimithó/Prépi na kimithúme [pl]	Πρέπει να κοιμηθώ / πρέπει να κοιμηθούμε [pl]	Aș vrea să dorm	Man (mums) reikia miego	Kailangan kong/nating matulog	Tôi cần phải ngủ/Chúng tôi cần phải ngủ			
041	Wo ist die U-Bahn?	Ayn almetro?     / ouin Almahatta	Where is the subway/underground?	Où est le métro?	Kje je metro?	Waar is de metro? / 	مٹرو/سب وے/او۔بان کہاں ہے؟	Metro/subway/U-bahn kahan hai? / 	উ-বা'ন কোনদিকে?	U-Bahn kondike?	مترو کجاست؟	metro kojaast?	د اورګاډي ایستګاه چیرته ده؟  	da orgaaddi istgah cherta da?	Ku është metroja?	Gdje je podzemna željeznica? / Gde je metro?	Gdzie jest metro?	Каде е метрото? (Kade e metroto?)	Где метро?	S: Kde je metro? / C: Kde je metro?	سه بوه ی  له کوییه؟	kade e metroto / къде е метрото	Metro li kû ye?	S: Var är tunnelbanan N: Hvor er t-banen / D: Hvor er banegården?	Missä on metro?		Dov’è la metro(politana)?	Metro nerede?	¿Dónde está el metro / ubahn?	Hol van a metró?	Onde fica o metro?	Pu íne to metro?	Πού είναι το μετρό;	Unde este metroul?	Kur yra metro?	Nasaan ang metro/subway?	Tàu điện ngầm ở đâu?			
	Ich habe kein Geld.	laysa maay maal. La amliq nakuda  / Ma endi Massari	I don’t have any money.	Je n'ai pas d'argent.	Nimam nič denarja.	Ik heb geen geld.	میرے پاس پیسے نہیں ہیں۔	Mere paas paisey nahi hein. / 	আমার কাছে কোনো টাকা নেই	amar kachhe kono taka nei	پیسه ندارم.	paysah nadaaram.	ما سره پيسې نشته   	ma-sara payse nishta	Nuk kam asnjë para	Nemam novaca.	Nie mam pieniędzy.	Немам пари (Nemam pari)	У меня нет денег	S: Nemám žiadne peniaze / C: Nemám žádné peníze	هیچ پاره م پی نیه	niamam pari / нямам пари	Perê min tune ye.	S: Jag har inga pengar N: Jeg har ikke penger / D: Jeg har ikke penge	Minulla ei ole rahaa		Non ho / soldi / denaro	(Hiç) param yok	No tengo dinero	Nincs pénzem	Não tenho dinheiro	Den ého hrímata	Δεν έχω χρήματα	Nu am bani	Aš neturiu pinigų	Wala akong pera	Tôi không có tiền			
042	Sprechen Sie…?	hal tatakallam al-lugha.   / Aya Lugha Tehki	Do you speak...	Parlez-vous...?	Govorite...?	Spreekt u ...?	کیا آپ ۔۔۔ بولتے/بولتی ہیں؟	Kya aap ..... boltey/bolti hein?	আপনি কি .... বলতে পারেন?	apni ki .... bolte paren?	... گپ می زنی؟	... gap mezani?	... ژبه درځي؟         	zheba dar-zi...?	A flisni…?	Govorite li…?	Czy mówi Pan (m) / Pani (f) po...?	Зборувате ли...? (Zboruvate li...?)	Вы говорите…?	S: Hovoríte...? / C: Mluvíte...?	تو ده زانی قسه بکه ی به .....؟	Govorite li... / говорите ли...	Gelo tu ….diaxivî?	S: Pratar du…? / N: Snakker du..? / D: Taler du..?	Puhutteko...?	Talar þú... ?	Parla … (es.italiano)?	.... biliyor musun?	¿Habla…?	Beszél ön...	Fala…?	Miláte…?	Μιλάτε...;	Vorbiți...?	Ar Jūs kalbate...	Nakakapagsalita ka ba ng...?/Marunong ka bang mag...?	Bạn có nói tiếng ... không?			
043	Ich spreche nicht so gut (Deutsch).	Almaniyati da'ífa   /   Ma Behki Allmani	I don't speak (English) very well.	Je ne parle pas très bien (le français)	Ne govorim slovensko.	Ik spreek (niet zo goed) Nederlands.	میری جرمن/انگریزی بہت اچھی نہیں ہے۔ / 	Meri German/Angrezi bohat achi nahi hai.	আমি খুব একটা ভালো (জার্মান) বলতে পারিনা  	ami khub ekta bhalo (German) bolte parina	المانیم خوب نیست / 	almaaniyam khub nist	ما ته الماني ژبه (ښه) نه راځي   	 ma-ta Alemani zheba (kha) na razi	Nuk flas gjermanisht/anglisht (shumë mirë)	Ne govorim (dobro) hrvatski / srpski / bosanski.	Nie mówię zbyt dobrze po (polsku).	Не разбирам македонски (Ne razbiram makedonski)	Я не (очень хорошо) говорю по немецки	S: Neviem (dobre) po nemecky / C: Neumím (dobře) německy	 من زمانی المانی به باشی نازانم قسه ی پیبکه م	Ne govoria вalgarski / не говоря български	Ez Elmanî (baş) nizanim.	S: Jag pratar inte så bra (svenska) / N: Jeg snakker ikke så bra tysk / D: Jeg taler ikke så godt tysk	En puhu suomea (hyvin)		Non parlo tedesco [molto bene]	Türkçe bilmiyorum / --- / Az Türkçe biliyorum	No hablo (muy bien) español	Nem tudok (jól) magyarul	Não falo português (muito bem)	Den miláo tóso kalá ______ (elliniká).	Δεν μιλάω τόσο καλά _____ (ελληνικά)	Nu înțeleg română.	Aš prastai kalbu (angliškai)	Hindi ako nakakapagsalita ng Filipino (Tagalog)	Tôi nói tiếng ... không tốt lắm			
044	Können Sie das für mich aufschreiben ?	Hal yomkenak ketabat zalek?  Fik Tiktba 	Can you write that down for me?	Pouvez-vous écrire cela pour moi?	 Mi lahko to napišete?	Kunt u dat voor me opschrijven?	 یہ  آپ لکھ سکتے ہیں ? / 	Yeh aap likh saktay hain?	আপনি কি আমাকে একটু লিখে দিতে পারবেন?	apni ki amake ektu likhe dite parben?	برایم او را نویشته کرده می توانی؟	baraayem oo ra newishta karda metaani?	ما ته دا وليکئ ؟        	 ma-ta da u-likey?	A mund ta shkruani për mua?	Možete li mi to napisati? / Моžete li to da mi napišete?	Czy może Pan (m) / Pani (f) to napisać?	Може да ми го напишете тоа? (Mozhe da mi go napishete toa?)	Не могли бы Вы это написать?	S: Nemohli by ste mi to napísať? / C: Nemohli byste mi to napsat?	ده توانی اوه م بو بنوسي؟	Mozhete li da napishete tova? /можете ли да напишете това	Gelo tu dikarî vê binivîsi?	S: Kan du skriva ner det? / N: Kan du skrive det ned? / D: Kan du skrive det ned?	Voitko kirjoittaa sen?		Potrebbe scrivermelo?	Bana bunu yazar mısın?	¿Puede escribirlo? 	Le tudja nekem írni?	Pode escrever?	Boríte na to grápsete?	Μπορείτε να το γράψετε;	Puteți să scrieți?	Ar galite tai užrašyti?	P(u)wede mo bang isulat?	Bạn có thể viết ra giấy cho tôi được không?			
045	Ich verstehe das nicht.	 la afham, ma bi-fahmish   / Ma fhimt 	I don’t understand	je ne comprends pas	Ne razumem	Ik begrijp het niet	مجھے سمجھ  نہیں آیا / 	Mujhey samajh nahin aaya.	আমি বুঝতে পারছি না	ami bujhte parchhi na	نمی فهمم	namifahmam	زه نه پوهېږم      	za na puyegam	Nuk kuptoj	Ne razumijem / Ne razumem.	Nie rozumiem.	Не разбирам (Ne razbiram)	Я не понимаю	S: Nerozumiem / C: Nerozumím	تیناگه م	Ne razbiram / не разбирам	Ez vê fêm nakim	S: Jag förstår inte. / N: Jeg forstår ikke. / D: Jeg forstår ikke.	En ymmärrä	Ég skil ekki	Non ho capito / Non capisco	Anlamıyorum.	No entiendo / No comprendo	Nem értem	Não entendo/compreendo	Den to katalavéno	Δεν το καταλαβαίνω.	Nu înțeleg.	Aš nesuprantu	Hindi ko maintindihan	Tôi không hiểu			
	Hilfe! / Bitte helfen Sie mir !	an-najda! sá'idni law samahta	Help! / Please help me!	à l'aide ! / Aidez-moi s'il vous plaît.	Na pomoč! Pomagajte mi, prosim!	Help! / Help me alstublieft!	بچاو! /میری مدد کیجیئے / 	Bachao! / Meri madad kijiye	বাঁচাও! দয়া করে আমাকে একটু সাহায্য করুন  	ba(n)chao! amake doya kore ektu shahajjo korun	 کمک !	Komak!			Ndihmë!/ Ju lutem, më ndihmoni!	Upomoć! Molim vas, pomozite mi.	Pomocy! / Proszę o pomoc.	Помош! Помогнете ми, ве молам (Pomosh! Pomognete mi, ve molam)	Помогите!/ помогите мне, пожалуйста!	S: Pomôžte mi, prosím / C: Pomožte mi, prosím	یارمه تی.. تکایه یارمه تیم بده ن	Imam nuzhda ot pomosht! / имам нужда от помощ	Hewara!/Ji kerema xwe alîkarîya min bike	S: Hjälp! / Snälla hjälp mig! / N: Hjelp!/ Vær så snill å hjelp meg! / D: Hjælp!/ vil du venligst hjælpe mig!	Apua! / Auttakaa minua!		Aiuto! / Mi aiuti per favore	İmdat/ Lütfen bana yardım edin	¡Ayuda! / ¡Ayúdeme, por favor!	Segítség	Ajuda! / Ajude-me por favor!	Voíthia! / Parakaló voithíste me	Βοήθεια! / Παρακαλώ, βοηθήστε με!	Ajutor!	Padėkit! / Prašau padėkite man!	Tulong / Saklolo	Xin hãy giúp tôi			
046	Ich weiß nicht	ma bi-arifsh   / Ma Ba´rif	I don’t know	je ne sais pas.	Ne vem	Ik weet het niet.	مجھے نہیں معلوم	Mujhay nahi malum	আমি জানি না	ami jani na	نمی دانم	namedaanam	نه پوهېږم    	na puyegam	Nuk e di	Ne znam.	Nie wiem.	Не знам (Ne znam)	Я не знаю	S: Neviem / C: Nevím	من نازانم	ne znam / не знам	Ez nizanim.	S: Jag vet inte / N: Jeg vet ikke / D: Jeg ved det ikke	Minä en tiedä.	Ég veit ekki	Non lo so	Bilmiyorum	No sé	Nem tudom	Não sei	Den kséro	Δεν ξέρω	Nu știu	Aš nežinau	Hindi ko alam	Tôi không biết			
047	Was ist passiert?	Matha alathi hassal? / Matha hassall?      / schou sarr  / sho sar	What happened?	Que s'est-il passé?	Kaj se je zgodilo?	Wat is er gebeurd?	کیا ہوا؟ / 	kya huwa? / 	কী হয়েছে  	ki hoyechhe	چی شد؟	Chi shod?	څه شو؟     	tsa sho?	Çfarë ka ndodhur	Što (Šta) se dogodilo?	Co się stało?	Што се случило? (Shto se sluchilo?)	Что случилось?	S: Čo sa stalo? / C: Co se stalo?	چی رویدا؟	Kakvo se e sluchilo?/ какво се е случило?	Çi bû?	S: Vad har hänt? / N: Hva har skjedd? / D: Hvad er der sket?	Mitä on tapahtunut? / Mitä tapahtui?		Cos’è successo?	Ne oldu?	¿Qué pasó?	Mi történt?	O que aconteceu?	Ti sinévi?	Τι συνέβη;	Ce s-a întâmplat?	Kas nutiko?	Ano ang nangyari?	Chuyện gì đã xảy ra thế?			
048	Mir ist kalt. / Ich friere.	Ana bardan	I am cold/ freezing	J'ai froid. / Je suis gelé(e).	Zebe me.	Ik bevries / heb het koud.	مجھے بہت سردی لگ رہی ہے۔  / 	Mujhey bohat sardi lag rahi hai  / 	আমার শীত লাগছে/করছে 	amar sheet lagchhe	خنک می خرم.	khonuk mekhurum	زما یخ/ساړه کیږي    	zma yakh / saarra kegi	Kam ftohtë/ngriva	Hladno mi je.	Jest mi zimno.	Ладно ми е (Ladno mi e)	Мне холодно	S: Je mi zima / C: Je mi zima	من سه رمامه ره ق بوومه وه	studeno mi e / студено ми е	Min sar e.	S: Jag fryser / N: Jeg fryser / D: Jeg fryser	Minulla on kylmä / Minä palelen / 		Ho freddo	(çok) Üşüyorum	Tengo frío	Fázom	Tenho frio	Krióno / Ého ksepagiási	Κρυώνω / Έχω ξεπαγιάσει	Îmi este frig.	Man šalta	Nalalamigan ako	Tôi lạnh			
049	😊 Ich freue mich / ich bin glücklich	Ana sa'íd     / Mabssout	I’m happy.	Je suis content(e)	Vesel sem.	Ik ben blij/gelukkig.	میں خوش ہوں۔	Me khush hoo. / 	আমার খুশী লাগছে / আমি খুশী 	amar khushi lagchhe / ami khushi	خوش شدم.	Khush shodam.	زه خوشحاله يم   	za khushhala yam	Gëzohem/Më vjen mirë/jam i lumtur	Sretan sam. (m) / Sretna sam. (f) / 	Cieszę się. / Jestem szczęśliwy (m) / szczęśliwa (f).	Среќен сум (Srekjen sum (m)) / Среќна сум (Srekjna sum (f))	Я рад / рада	S: Som štastný / C: Jsem šťastný /  / Jsem spokojený	من دل خوشم 	radvam se / радвам се	Ez keyfxweş im.	S: Jag är glad/ jag är lycklig / N: Jeg er glad / jeg er lykkelig / D: Jeg er glad/ lykkelig	Olen iloinen / onnellinen		Sono contento / contenta	mutluyum	Estoy feliz / / contento (a)	Elégedett/ boldog vagyok	Estou feliz	Hérome / íme eftihisménos [m]	Χαίρομαι / είμαι ευτυχισμένος	Mă bucur	Aš laimingas	Masaya ako	Tôi hạnh phúc/Tôi hài lòng			
050	😰 Ich habe Angst	Ana bi-khaf	I’m scared.	j'ai peur	Bojim se.	Ik ben bang.	مجھے ڈر لگ رہا ہے۔ / 	Mujhey dar lag raha hai / 	আমার ভয় করছে	amar bhoy korchhe	می ترسم	metarsam	يېرېږم     / 	yeregam	Kam frikë	Bojim se (Strah me je.)	Boję się.	Страв ми е (Strav mi e)	Мне страшно	S: Bojím sa / C: Bojím se /  / Mám strach	من ترساوم	strah me e / страх ме е	Ez ditirsim.	S: Jag är rädd / N: Jeg er redd / D: Jeg er bange	Olen peloissani		Ho paura	korkuyorum	Tengo miedo	Félek	Estou assustado	Fováme	Φοβάμαι	Îmi este frică.	Man baisu	Natatakot ako/Takot ako	Tôi sợ			
051	😢 Ich bin traurig.	Ana hazín	I’m sad.	je suis triste	Žalosten sem.	Ik ben verdrietig.	میں  اداس ہوں	Main udaas hoon. / 	আমার মন খারাপ	amar mon kharap	غمگین شدم.	Ghamgin shodam.	زه خپه یم    	za khapa yam	Jam i mërzitur/pikëlluar	Tužna sam. (f) / Tužan sam. (m)	Jestem smutny (m) / smutna (f).	Тажен сум (Tazhen sum (m)) / Тажна сум (Tazhna sum (f))	Мне грустно	S: Je mi smutno / C: Jsem smutný	من دلته نگم	tazhna sam / тъжен съм	Ez xemgîn im.	S: Jag är ledsen / N: Jeg er trist / D: Jeg er ked af det	Olen surullinen		Sono triste	üzgünüm	Estoy triste	Szomorú vagyok	Estou triste.	Íme lipiménos (m) / Íme lipiméni (f)	Είμαι λυπημένος (m) / Είμαι λυπημένη (f)	Sunt trist/tristă.	Man liūdna	Malungkot ako	Tôi buồn			
052	😍 Ich mag dich.	Ana bai'zak	I like you.	Tu es gentill(le) / Je t'aime bien	Všeč si mi.	Ik vind je aardig. 😊 / Ik vind je lief. 😍	تم مجھے پسند ہو۔	Tum mujhey pasand ho. / 	আমার তোমাকে পছন্দ	amar tomake pochhondo	شما را دوست دارم.	shoma ra dost daaram.	ته زما خوښ يې    	ta zma khwakh ye	Ti më pëlqen	Drag(a) si mi.	Lubię cię.	Ми се допаѓаш (Mi se dopagjash)	Ты мне нравишься	S: Mám ťa rád / C: Mám tě rád	که یفم پیتدیت / توم به دله	harsvam vi / харесвам Ви	Kêfa min ji te re tê.	S: Jag gillar dig / N: Jeg liker deg / D: Jeg kan lide dig	(Minä) pidän sinusta		Mi piaci	Senden hoşlanıyorum	Me cae bien / Me agradas	Kedvellek	Gosto de si/ti.	Mu arésis	Μου αρέσεις	Îmi place de tine.	Tu man patinki / Jūs man patinkate [pl]	Gusto kita	Tôi thích bạn/Tôi hài lòng về bạn			
053	keine Sorge	La taqlaq / Mouch Mouchkila  / Mou Mschkil	Don’t worry	Ne vous inquiétez pas   	Brez skrbi.	Maak je geen zorgen.	فکر نا کریں	Fikr na karein	চিন্তার কিছু নেই	chintar kichhu nei 	فکر نکنین.	Fekar nakonin.	تشویش مه کوه   	 tashwish ma kawa	Mos u shqetëso	Ne brini.	Nie martw się.	Не се секирај (Ne se sekiraj)	Не волнуйтесь	S: Nebojte sa / Nerobte si starosti / C: Nebojte se / Nedělejte si starosti	نيگه ران مه به	ne se valnuvajte / не се вълнувайте	Mitala neke.	S: Ingen fara N:Ingen fare / D: Ingen problem	Ei huolta / Ei hätää / Älä murehdi		Non si preoccupi / Non preoccuparti	Boşver / Üzülme	No se preocupe	Ne aggodjon	Não se preocupe	Mín anisihís	Μην ανησυχείς	Nu vă îngrijorați	Nebijokite	Huwag kang magalala	Đừng lo sợ			
054	Ich hätte gerne einen Termin.	Ana bihaja ila maw'ed	I would like an appointment.	Je voudrais prendre un rendez-vous	želim sestanek	Ik will graag een afspraak maken.	مجھے اپائینڈمنٹ/ملاقات کا وقت چاہیئے۔	Mujhey appointment/mulaqat ka waqt chahiey	আমার এপয়েন্টমেন্ট লাগবে	amar appointment lagbe	میخوام یک قرار بگیرم	Mekhaayam yak qaraar bigiram.	زه د ملاقات وخت غواړم		Dua një takim	Trebam termin za...	Chciałbym (m) / Chciałabym (f) się umówić na spotkanie.	Треба да закажам____ (Treba da zakazham____)	Я бы хотел(а) записаться на приём к врачу	S: Rád by som sa stretol  / C: Rád bych si dal schůzku / / Potřebuji se sejít	ده مه وى مؤعيده ك وه رگرم	Iskam da si zapisha chas./ Искам да си запиша час.	Civan hewce ye	S: Jag behöver boka en tid N: jeg trenger en time D: Jeg har brug for at booke en tid: 	Minun pitäisi varata aika		Ho bisogno di un appuntamento. / Devo prendere un appuntamento.	Randevu gerekiyor	Necesito una cita/turno.	Szeretnék egy időpontot kérni	Preciso marcar uma consulta	Hriázome éna randevú	Χρειάζομαι ένα ραντεβού	Am nevoie de o programare	Aš norėčiau susitikimo	Nais kong makipag-usap/makipag-ugnayan sa (name of office or bureau)                                 /                                   Nais kong makipag-usap/makipag-ugnayan kay (person's name)	Tôi muốn một cuộc hẹn			
055	Wo ist das Zimmer Nummer ___?	wyna raqm elghourfa	Where is room number ____?	où est la chambre numéro...?	Kje je soba...?	Waar is kamer nummer__?	کمرہ نمبر.... کہاں ہے۔	Kamra number ... kahan hai?	রুম নাম্বার ... টা কোনদিকে?	room number ... ta kondike?	اتاق نمبر ـــــــ کجاست؟	Otaaq nambare ____ kojast?	کوټه/خونه شمیره ... چیرته ده؟		Ku është dhoma numër ___?	Gdje (gde) je soba broj ___?	Gdzie jest pokój numer_____?	Каде е соба број___? (Kade e soba broj___?)	Где находится комната номер _____?	S: Kde je izba číslo?  / C: Kde je pokoj číslo?	زوری زماره ...له کویه؟	Kade e staja nomer...?/ Къде е стая номер...?	Odeya bi .... nûmerê li ku ye?	S: Vilket rumsnummer? N: Hvilket nummer på rummet? S: Hvor er værelse nummer___	Missä on huone numero__		Dov'è la stanza numero ____ ?	______ Numaralı oda nerede?	¿Dónde está la habitación número...?	Hol van a ...-es szoba?	Onde fica a sala/o quarto número ___?	Pu ine to domátio ___?	Πού είναι το δωμάτιο __;	Unde este camera cu numărul...?	Kur yra kambarys numeris ___?	Nasaan ang silid bilang _?          /           Nasaan ang room # _?	Căn phòng số ... ở đâu?			
056	Wo ist die Erstaufnahmestelle?	wain markaz eltassjil	Where is the registration centre?	Où est le centre d'enregistrement?	Kje je center za registracijo?	Waar is het registratiekantoor?	رجسٹریشن سنٹر کہاں ہے؟	Registration centre kahan hai?	রেজিস্ট্রেশন সেন্টারটা কোথায়? 	Registration center ta kothay?	مرکز ثبت کجاست؟	Markaze sabt kojast?	د ثبت کوټه/خونه چیرته ده؟		Ku është qendra e regjistrimit?	Gdje (gde) je centar za registraciju?	Gdzie jest rejestracja?	Каде е центарот за регистрација? (Kade e centarot za registracija?)	Где находится центр регистрации?	S: Kde je registračné centrum?  / C: Kde je registrační centrum?	سه نته ری ناو ته سجیل کردن له کویه؟	Kude e centarat za registratsiya? / Къде е центърът за регистрация?	Navenda serlêdanê li ku ye?	S: Var kan jag registrera mig? N: Hvor kan jeg registrere meg? D: Hvor kan jeg blive registreret	Missä voin rekisteröityä?		Dov'è il centro di registrazione?	Kayıt merkezi nerede?	¿Dónde está el Centro de Inscripción / Registro Civil / Registro de Extranjeros?	Hol van a Regisztrációs Központ?	Onde fica o centro de registos?	Pu vriskete to kèntro apografis/mitròu?	Πού βρίσκεται το κέντρο απογραφής/μητρώου;	Unde este centrul de înregistrare?	Kur yra registracijos centras?	Saan ang registration centre?	Chỗ đăng ký nằm ở đâu?			
