Everybody: The sheet is closed from further editing. We still need help with Pashto, Tigrinya, Amharic and the Kurdish languages. If you can help with that, get in touch with medical@refugeephrasebook.de																																						
Ich bin verletzt	لقد تعرضت للإصابة	I was injured		Yaralandım.	Je suis blessé/blessée	من صدمه دیده ام.	আমি আহত হয়েছি। 	زہ زخمی وم	Unë jam plagosur	Ranjen sam. (m) / Ranjena sam (f).	Био/ла сам рањен/а	Я ранен/ранена	Sono ferita/o	توشی پێکان بووم	Ez birîndarim.	Jag är skadad/Jeg ble skadet	Olen loukkaantunut				میں زخمی تھا	C: Byl jsem zraněný. S: Bol som zranený.	Fui herido / herida	Megserultem	Eu estava lesionado.	Τραυματίστηκα.	Sunt ranit	Jsem zraněný.	Наранен/а съм.	Јас бев повреден/повредена (Jas bev povreden/povredena)	Nasugatan ako	Toi bi thuong.	Jestem ranny / ranna	Poškodovan sem (m), poškodovana sem (f)		Ik ben gewond		상처를 입었었습니다
Ich wurde geschlagen	أحدهم ضربني	Somebody hit me		Biri bana vurdu.	On m'a frappé/frappée	یک نفر من را زده است.	কেউ আমাকে মেরেছে। 	چا کس زہ وھلے وم	Më kanë rrahur	Istukli/udarili su me.	Неко ме је ударио.	Меня ударили	Sono stata/o colpita/o	یەکێک لێیدام	Yekî li min xist.	Jag har blivit slagen/Noen slo meg.	Joku löi minua				مجھے کسی نے مارا ھے	C: Někdo mě praštil. S: Niekto ma udrel	Alguien me golpeó	Valaki megutott	Alguem me bateu.	Κάποιος με χτύπησε.	Am fost batut	Někdo mě praštil.	Бит/а съм.	Некој ме удри (Nekoj me udri)	May sumalpuk sa akin	Toi bi danh.	Uderzono mnie	Nekdo me je udaril		Iemand heeft mij geslagen		누군가가 나를 때렸습니다 
Ich wurde mit einem Messer verletzt	تعرضت للطعن بسكين 	I was stabbed/ cut with a knife		Bıçakla yaralandım.	On m'a frappé/frappée avec un couteau	من با چاقو زخمی شده ام.	আমাকে কেউ ছুরি মেরেছে। 	دا زخم دہ چاقو دے	Jam i therrur / lënduar me thikë	Ozlijeđen (povređen) sam od uboda nožem.	Неко ме убо ножем.	Меня ударили ножом	Sono stata/o aggredita/o con un coltello	بەچەقۆ بریندار کراوم	Ez bi kêrê birindar bûm.	Jag har blivit knivskuren/Jeg ble knivstukket/kuttet med kniv.	Minua puukotettiin				مجھے تیز دھار آلے سے زخمی کیا گیا	C: Byl jsem pobodaný nožem. S: Bol som dobodaný / porezaný nožom	Fui acuchillado/a / cortado/a con un cuchillo/navaja	Megkeseltek	Eu fui esfaqueado.	Κάποιος με μαχαίρωσε.	Am fost injunghiat	Byl jsem pobodán nožem.	Ранен/а съм от нож.	Ранет/Ранета сум од нож (Ranet/Raneta sum od noz)	Nasaksak ako/Nahiwa ako	Toi bi thuong bang dao.	Raniono mnie / dźgnięto mnie nożem	Nekdo me je zabodel/porezal z nožem		Ik ben gestoken / gesneden met een mes		 칼에 찔렸습니다/베이었습니다
Ich wurde von einem Auto angefahren	ضربتني سيارة 	I was hit by a car		Bana araba çarptı.	J'ai été renversé/renversée par une voiture	ماشین به من زده است.	আমাকে একটি গাড়ি চাপা দিয়েছে। 	زہ موٹر وھلے یم	Me ka goditur Automjeti/ Vetura.	Udario me (je) automobil.	Ударио ме ауто. 	Меня ударила машина	Sono stata/o investita/o da una macchina	سەیارە لێیداوم	Seyyare/Erebê li min xist.	Jag har blivit påkörd/Jeg ble påkjørt	Minun päälleni ajettiin autolla				ایک گاڑی نے مجھے مارا	C: Srazilo mě auto. S: Zrazilo ma auto	Fui atropellado/a por un auto	Elutott egy auto	Eu fui atropelado por um carro.	Με χτύπησε ένα αυτοκίνητο.	Am fost calcat de o masina	Byl jsem sražen autem.	Удари ме кола.	Ме удри кола/автомобил (Me udri kola/avtomobil)	Natamaan ako ng kotse	Toi bi tai nan xe oto.	Potrącił mnie samochód	Povozil me je avto		Ik ben omver gereden door een auto		자동차에 부딪혔습니다
Ich wurde von einem Insekt gestochen	لسعتني حشرة	I was stung by an insect		Beni böcek soktu.	J'ai été piqué/piquée par un insecte	حشره ای من را نیش زده	আমাকে একটি পোকা কামড় দিয়েছে। 		Më ka pickuar një insekt	Ubo me kukac. (Pretrpeo (m) / pretrpela (f) sam ubod insekta.)	Убо ме инсект. 	Меня укусило насекомое	Sono stata/o punta/o da un insetto	مێروو پێیوەداوم	Kêzikê bi min ve da.	Jag har fått ett insektsbett/Jeg ble stukket av et insekt.	Hyönteinen pisti minua				ایک کیڑے مجھے کاٹا	C: Poštípal mě hmyz. S: Poštípal ma hmyz	Me picó un insecto	Megcsipett egy rovar	Fui picado por um inseto.	 Με τσίμπησε ένα έντομο	Am fost muscat de o insecta	Bodl mě hmyz.	Ужилен/а съм от насекомо.	Ме боцна инсект (Me bocna insekt)	Nakagat ako ng insekto		Ugryzł mnie owad	Pičil me je insekt		Ik ben gestoken door een insekt		벌레/곤충한테 찔렸습니다 
Ich wurde gebissen	تم عضّي (تعرضت لعضّة...)	I was bitten		Beni (bir şey) ısırdı. 	J'ai été mordu/mordue	چیزی من را گاز گرفته است.	আমাকে কামড় দিয়েছে। 		Më kanë kafshuar	Nešto me ugrizlo.	Угризло ме...	Меня укусили	Sono stata/o morsa/o	شتێک پێیوەداوم	Tiştekî ez gez kirim.	Jag har blivit biten./Jeg ble bitt.	Minua on purtu				مجھے کاٹ لیا تھا	C: Pokousal mě pes. S: Bol som pohryznutý	Fui mordido/a	Megharaptak	Fui mordido.	Κάτι με δάγκωσε.	Am fost muscat de ..	Byl jsem pokousán.	Бях ухапан/а.	Каснат сум/Ме касна...(Kasnat sum/Me kasna...)	Nakagat ako	Toi bi can.	Pokąsało mnie/Zostałem ugrzyziony	Nekaj me je ugriznilo		Ik ben gebeten		물렸습니다 
Ich bin abgestürzt	وقعت من مكان مرتفع	I fell from a height		Yüksekten düştüm	Je suis tombé/tombée d'une certaine hauteur	از ارتفاع افتاده ام.	আমি নিচে পড়ে গিয়েছি।		Jam rrezuar nga lartesia	Pao (m) / pala (f) sam s visine.	Пао/ла сам са висине.	Я упал/а с высоты	Sono caduta/o da una certa altezza	لە شوێنێکی بەرزەوە بەربوومەوە	Ez ji jor ketim erdê. 	Jag föll från en hög höjd./Jeg falt fra en høyde.	Putosin korkealta				میں اونچائی سے گر گیا	C: Spadl jsem z výšky. S: Spadol som z výšky	Me caí desde altura	Leestem 	Caí de uma altura.	Έπεσα από ύψος.	Am fost lovit	Spadl jsem z výšky.	Паднах от високо.	Паднав од високо (Padnav od visoko)	Nahulog ako mula sa isang mataas na lugar	 	Spadłem / spadłam z wysokości	Padel sem z višine (m) padla sem z višine (f)		Ik ben naar beneden gevallen		위에서  떨어졌습니다 
Ich bin hingefallen	وقعت	I fell down		Düştüm. 	Je suis tombé/tombée	من افتادم.	আমি পড়ে গিয়েছি। 	za ooghar ze dalam	Jam rrezuar	Pao (m) / pala (f) sam.	Пао/ла сам.	Я упал/а  	Sono caduta/o	کەوتم	Ez ketim.	Jag föll./Jeg falt ned.	Kaaduin				میں گر گئی	C: Upadl jsem. S: Spadol som	Me caí	Elestem	Eu caí.	 Έπεσα.	Am cazut	Upadl jsem.	Паднах.	Паднав (Padnav)	Nahulog ako	Toi bi nga.	Upadłem / upadłam	Padel sem na tla (m) padla sem na tla (f)		Ik ben gevallen		넘어 졌습니다 
																																						
Hier tut es weh	يؤلمني هنا	It hurts here		Burası acıyor. 	J'ai mal ici	این جا درد میکنه	এখানে ব্যথা করছে। 		Këtu kam dhimbje	Osjećam bol na ovom dijelu tijela. (Na ovom me mestu boli.)	Боли ме овде.	Здесь болит	Fa male qui 	ئێرەم ئازاری دێت	Ev der diêşe.	Det gör ont här/Det gjør vondt her.	Tähän sattuu				یہ مجھے یہاں درد دیتا ہے	C: Tady to bolí. S: Tu to bolí	Me duele aquí	Itt faj	Dói aqui.	Πονάει εδώ.	Ma doare aici	Zde to bolí.	Тук ме боли.	Тука ме боли (Tuka me boli)	Masakit dito	Toi bi dau o day.	Boli mnie tutaj	Tukaj me boli		Het doet hier pijn		여기가 아픕니다
Der Schmerz wandert von hier nach dort	يبدأ الألم من هنا ويمتد إلى هنا	The pain started here and goes to here		Acı/ağrı şuradan başlıyor ve şuraya gidiyor.	J'ai mal d'ici à là 	درد از اینجا شروع شد و به اینجا کشیده شد	এখান থেকে এখান পর্যন্ত ব্যথা করছে। 		Dhimbja më kalon nga këtu deri këtu	Bol migrira s ovog na onaj dio tijela. (Bol se pomera s ovog na onaj dio tela.)	Бол се помера одавде до тамо	Болит то тут, то там	Fa male da qui a qui	ئازارەکە لێرەوە دەستپێدەکات و دێت بۆ ئێرە	Êş ji vir dest pê dike û diçê vir.	Smärtan börjar här och slutar här./Smertene startet her, og går hit. Alternativ: Smertene gå herfra til hit.	Kipu alkaa tästä ja päättyy tänne				درد یہاں سے شروع ھو کے یہاں جاتا ھے	C: Bolest začala zde a pokračuje sem.	El dolor empieza aquí y llega hasta ahí	A fajdalom itt indul es idaig tart	A dor começou aqui e vai até ali.	Ο πόνος αρχίζει από εδώ και πηγαίνει εκεί.	Durerea porneste de aici pana aici.	Ta bolest začala tady a pokračuje zde.	Болката започна тук и стига до тук.	Болката започна тука и премина тука (Bolkata zapocna tuka i premina tuka)	Nagsisimula ang sakit dito hangang dito	Toi bi dau tu day den day.	Ból zaczął się tutaj i podąża dotąd	Bolečina se začne tukaj, boli me vse do sem 		De pijn begon hier en gaat tot daar		
Der Schmerz besteht die ganze Zeit	الألم موجود طوال الوقت	The pain is there all the time		Ağrı/acı hep var.	La douleur est persistante/ J'ai tout le temps mal	تمام مدت درد میکند.	সারাক্ষণ ব্যথা করে। 		Kam dhimbje gjithë kohën	Boli me cijelo vrijeme (sve vreme).	Боли ме све време.	Здесь все время больно/болит	Il dolore è continuo	بەردەوام ئازارم هەیە	Êş her tim heye.	Jag har ont hela tiden./Smertene er der hele tiden.	Kipu tuntuu jatkuvasti				درد ہر وقت ہے	C: Stále to bolí. S: Tu to stale boli	El dolor es crónico / está todo el tiempo	A fajdalom kronikus - allandoan jelenlevo.	A dor está sempre presente.	 Ο πόνος είναι συνεχείς.	Durerea este permanenta	Bolest neutuchá.	Болката неотихва.	Болката е постојана (Bolkata e postojana)	Laging nandirito ang sakit	Dau suot. 	Ból nie ustępuje	Boli me ves čas		De pijn is er de hele tijd		
Der Schmerz kommt und geht	الألم يذهب ويعود	The pain comes and goes		Ağrı/acı gelip gidiyor.	La douleur n'est pas continue 	درد میاد و میره.	ব্যথা আসছে ও যাচ্ছে। 		Dhimbja sa vjen e shkon	Bol dođe i prođe.	Бол дође и прође.	Боль бывает только иногда	Il dolore è intermittente	Eshaka detu arwat.	Êş tê û diçê.	Smärtan kommer och går./Smertene kommer og går.	Kipu tulee ja menee				درد آتا ہے اور چلا جاتا ہے	C: Bolest přichází a odchází. S: Bolest prichadza a pdchadza	El dolor es intermitente / va y viene	A fajdalom nem allando.	A dor vai e vem.	Ο πόνος έρχεται και φεύγει.	Durerea vine si trece/este intermitenta	Bolest je nepravidelná.	Болката спира и почва отново. 	Болката е повремена (Bolkata e povremena)	Nawawala at bumabalik ang sakit	Co luc dau, co luc khong.	Ból przychodzi i odchodzi	Bolečina pride in gre		De pijn komt en gaat		
Es schmerzt bei Berührung	أشعر بالألم عندما ألمس 	It hurts when I touch it		Dokunduğum zaman acıyor. 	J'ai mal lorsque je touche	وقتی بهش دست میزنم درد میگیره	ধরলেই ব্যথা লাগছে। 		Kjo më dhemb kur e prek	Boli me na dodir.	Боли ме на додир. 	Болит при прикосновении	Fa male quando tocco	زۆر دێشیێ کە دەستی لێدەدەم	Dema dest didê, diêşe.	Det gör ont när jag tar på det./Det gjør vondt når jeg tar på det.	Siihen sattuu kun kosken siihen				جب یہاں چھوتا ھوں تو درد ھوتا ھے	C: Zde to bolí, když se toho dotknu. S: Boli to pri dotyku	Me duele cuando lo toco	Faj, ha hozzaerek.	Dói quando toco 	 Πονάει όταν το αγγίζω.	Ma doare la atingere	Bolí to když se toho dotknu.	Боли при допир.	Ме боли на допир (Me boli na dopir)	Masakit kung hawakan ko	Cham vao thi dau.	Boli, gdy dotykam	Boli na dotik		Het is pijnlijk bij aanraking		
Es ist schlimmer wenn ich stehe	الأمر يزداد سوءا عندما أقف	It gets worse when I stand up		Ayağa kalktığım zaman daha da kötüleşiyor.	C'est pire lorsque je suis debout	وقتی بلند میشم درد میگیره	আমি দাঁড়ালে ব্যথা বেড়ে যায়। 		Bëhet më keq kur qëndroj ne këmbë	Osjećam (osećam) se gore kada ustanem.	Осећам се горе када устанем.	Становится хуже, когда встаю	Peggiora quando sono in piedi 	ئازارەکە زیاد ئەکات کە رادەوەستم	Dema ez dirabim ser pîya xirabtir dibe.	Det blir värre när jag reser mig upp./Det blir verre når jeg reiser meg.	Se tuntuu pahemmalta kun nousen seisomaan				جب کھڑا ھوتا ھوں تو بڑھ جاتا ھے	C: Zhorší se to, když se postavím. S: Je to horsie ked sa postavim	Empeora cuando me levanto	Jobban faj, ha felkelek.	Fica pior quando estou em pé	Είναι χειρότερο όταν είμαι όρθιος.	Ma doare mai tare cand stau in picioare	Je to horší, když se postavím.	Чувства се по-силно като стоя.	Се влошува кога ќе застанам (Se vlosuva koga ke zastanam)	Lumalala kung tumatayo ako	Toi dung thi dau hon.	Jest gorzej, gdy wstaję	Poslabša se mi, ko vstanem		Het verslechtert wanneer ik rechtop sta		
Es ist schlimmer wenn ich mich hinlege	انه يزيد سوءا عندما استلقي	It gets worse when I lie down		Yattığım zaman daha kötüleşiyor.	C'est pire lorsque je me couche	وقتی دراز میکشم دردش بدتر میشه	আমি শুলে ব্যথা বেড়ে যায়। 		Bëhet më keq kur unë shtrihem	Osjećam (osećam) se gore kada legnem.	Осећам се горе када легнем. 	Становится хуже, когда ложусь	Peggiora quando sono distesa/o		Dema ez dirazim xirabtir dibe.	Det blir värre när jag lägger mig ner./Det blir verre når jeg legger meg ned.	Se tuntuu pahemmalta kun makaan				جب لیٹتا ھوں تو بڑھ جاتا ھے	C: Zhorší se to, když si lehnu. S: Je to horsie ked si lahnem	Empeora cuando me acuesto	Jobban faj, ha lefekszem.	Fica pior quando me deito	Είναι χειρότερα  όταν είμαι ξαπλωμένος.	Ma doare mai tare cand sunt culcat 	Je to horší, když si lehnu.	Чувства се по-силно като лежа.	Се влошува кога ќе легнам (Se vlosuva koga ke legnam)	Lumalala kung humihiga ako	Toi nam thi dau hon.	Jest gorzej, gdy się kładę	Poslabša se mi, ko ležim		Het verslechtert wanneer ik lig		
Es ist ein scharfer Schmerz	هو ألم حادّ	It is a sharp pain		Keskin bir ağrı.	C'est une douleur aiguë	درد شدید(تیز) دارد	খুব তীব্র ব্যথা করছে। 		Kjo është një dhimbje e mprehtë	Bol je oštra.	Бол је оштра.	Это острая боль	È un dolore acuto 		Êşeke tûj	Smärtan är skarp./Det er en skarp smerte.	Se on terävä kipu				یہ شدید چبھنے والا درد ھے	C: Je to ostrá bolest. S: Je to ostra bolest	Es un dolor agudo	Szuros fajdalom.	É uma dor aguda	Είναι οξύς πόνος.	Este o durere acuta	Je to ostrá bolest.	Болката е остра.	Болката е остра (Bolkata e ostra)	Makirot		Jest to ostry ból	Ostra bolečina		Het is een scherpe pijn		
Es ist ein dumpfer Schmerz 	انه الم باطني	It is a dull pain		İnce bir sızı.	C'est une douleur diffuse	دردش فشار گونه است	মৃদু ব্যথা করছে। 		Kjo është një dhimbje e rëndomtë	Bol je tupa.	Бол је тупа.	Это тупая боль	È un dolore lieve		Êşeke zirav	Smärtan är dov./Det er en murrende smerte.					یے ہلکا  درد ہے	C: Je to tupá bolest. S: Je to rozptylena bolest	Es un dolor leve	Enyhe fajdalom.	É uma dor leve	Είναι αμβλύς πόνος.	Este o durere minora	Je to tupá bolest.	Болката е тъпа.	Болката е тапа (Bolkata e tapa)	Manhid		Jest to tępy ból	Topa bolečina		Het is een doffe pijn		
Der Schmerz begann plötzlich	بدأ الألم فجأة	The pain started suddenly		Ağrı/acı aniden başladı.	 La douleur est apparue soudainement	درد ناگهانی شروع شد	হঠাৎ করেই ব্যথাটা বেড়েছে। 		Dhimbja filloi papritmas	Bol je došla iznenada. (Iznenada me je zabolelo).	Изненада ме заболило.	Боль началась внезапно	Il dolore è iniziato all'improvviso		Êş ji nişkave dest pê kir. 	Smärtan uppstod plötsligt./Smerten startet plutselig.	Kipu alkoi yllättäen				درد اچانک شروع  ہوا	C: Náhle to začalo bolet. S: Zrazu to zacalo boliet	El dolor comenzó repentinamente	hirtelen kezdett el fajni.	A dor começou subitamente	Ο πόνος άρχισε ξαφνικά.	Durerea a inceput dintr-odata	Bolest přišla náhle.	Болката почна внезапно.	Болката започна одеднаш (Bolkata zapocna odednas)	Nagsimula ng biglaan ang sakit	Tu dung dau.	Ból rozpoczął się niespodziewanie	Nenadoma me je začelo boleti		De pijn begon opeens		
Der Schmerz begann allmählich	بدأ الألم تدريجياً	The pain started gradually		Ağrı/acı yavaş yavaş arttı.	La douleur est venue progressivement 	درد کم کم شروع شد	ব্যথাটা আস্তে আস্তে বেড়েছে।		Dhimbja filloi gradualisht	Polako me počelo boljeti (Polako je počelo da me boli.)	Полако је почело да ме боли.	Боль началась потихоньку 	Il dolore è iniziato gradualmente		Êş hedî hedî zêdetir bû.	Smärtan uppstod gradvis./Smerten startet gradvis.	Kipu alkoi vähitellen				درد آہستہ آہستہ شروع  ہوا	C: Začalo to bolet postupně. S: Postupne to zacalo boliet	El dolor comenzó gradualmente	Fokozatosan kezdett el fajni.	A dor começou gradualmente	 Ο πόνος άρχισε σταδιακά.	Durerea s-a instalat progresiv	Bolest přišla pozvolna.	Болката почна постепенно.	Болката започна постепено (Bolkata zapocna postepeno)	Dahan-dahang nagsimula ang sakit	Dan dan cang bi dau hon.	Ból rozwinął się stopniowo	Boleti me je začelo postopoma		De pijn begon geleidelijk		
Ich hatte diesen Schmerz schon einmal	لقد شعرت بهذا الألم من قبل	I have had this pain before		Daha önce de böyle acımıştı/ağrımıştı.	J'ai déjà ressenti cette douleur	این درد را قبلا هم داشته ام	এরকম ব্যথা আমার আগেও ছিল। 		Unë kam pasur këtë dhimbje njëherë	Ovakvu sam bol osjećao (m) / osjećala (f) i ranije. (I pre me je ovde bolelo.)	И пре ме је ово/овде болело.	У меня уже была эта боль 	Ho già avuto questo dolore in passato		Berê jî wiha êşîya bû.	Jag har haft liknande smärta tidigare./Jeg har hatt denne smerten før.	Minulla on ollut tämä kipu ennenkin				مجھے یہ درد پہلے بھی تھا 	C: Už mě to bolelo před tím. S: Uz ma to predtym bolelo	He tenido este dolor antes	Volt mar ilyen fajdalmam ezelott.	Eu tive esta dor antes	 Πονούσα και παλαιότερα εκεί.	Am mai avut astfel de dureri	Tuhle bolest jsem měl již dříve.	Тази болка съм я имал веднъж.	Ја имав оваа болка и претходно (Ja imav ovaa bolka i prethodno)	Naramdaman ko na ang sakit na ito nuon	Toi bi dau nhu the nay mot lan roi. 	Już wcześniej doświadczyłem / -am tego bólu	Že prej me je bolelo		Ik had deze pijn eerder ook al		
Ich hatte diesen Schmerz noch nie	لم يسبق أن شعرت بهذا الألم مسبقاً	I have never had this pain before		Daha önce hiç böyle ağrım/acım olmamıştı.	Je n'ai jamais ressenti cette douleur	من هیچ وقت قبلا این درد را نداشته ام	এর আগে কখনো আমার এরকম ব্যথা করেনি।		Unë nuk e kam pasur ndonjëhere këtë dhimbje	Ovakvu bol još nikada nisam osjetio (m) / osjetila (f). (Ovde/ovo me još nikada nije bolelo.)	Никада ме ово/овде није болело.	У меня никогда не было этой боли	Non ho mai avuto prima questo dolore		Berê qet êşekê wiha nebubû.	Jag har aldrig haft någon liknande smärta./Jeg har aldri hatt denne smerten før.	Minulla ei ole koskaan ollut tällaista kipua				مجھے یہ درد پہلے کبھی نہیں ہوا  	C: Nikdy mě to před tím nebolelo. S: Nikdy ma to predtym nebolelo	Nunca tuve este dolor antes	Sosem volt ilyen fajdalmam ezelott.	Nunca tive esta dor antes	Δεν έχω ξανανιώσει τέτοιο πόνο .	Nu am mai avut niciodata o astfel de durere	Nikdy mě to nebolelo.	Никога не съм имал тази болка.	Никогаш не сум ја имал/а оваа болка (Nikogas ne sum ja imal/a ovaa bolka) 	Ngayon ko palang naranasan ang sakit na ito	Toi chua bao gio dau kieu nay.	Nigdy nie doświadczyłem / -am tego bólu	Še nikoli prej me ni bolelo		Ik heb nog nooit die pijn gevoeld		
																																						
Ich blute	لدي نزيف	I am bleeding		Kanamam var	Je saigne	من خونریزی دارم	আমার রক্ত পড়ছে। 		Unë jam i gjakosur	Krvarim.	Крварим. 	У меня течет кровь	Sto sanguinando		Xwînê dirijînim.	Jag blöder./Jeg blør.	Vuodan verta				میرا خون نکل رہا ہے 	C: Krvácím S: Krvacam	Estoy sangrando	Verzem.	Estou a sangrar	Αιμορραγώ.	Sângerez	Krvácím.	Кървя.	Крварам (Krvaram)	Nagdudugo ako	Toi bi chay mau.	Krwawię	Krvavim		Ik ben aan het bloeden		
Ich habe Blut im Urin	هناك دم في البول	There is blood in my urine		İdrarımda kan var.	J'ai du sang dans l'urine	در ادرار من خون وجود دارد	আমার প্রসাবে রক্ত যাচ্ছে। 		Unë kam gjak në urine	Imam krvi u urinu.	Имам крви у урину. 	У меня кровь в моче	Ho sangue nelle urine	Xwen la misi min haia.	Di nav mîza min de xwîn heye.	Jag har blod i urinen./Det er blod i urinen min.	Minulla on verta virtsassa				میرے پیشاب میں خون آ رہا ہے 	C: Mám krev v moči. S: V mojej moči je krv	Orino con sangre 	Veres a vizeletem.	Há sangue na minha urina	Έχω αίμα στα ούρα μου.	Urinez cu sânge	Mám krev v moči.	Имам кръв в урината.	Имам крв во урината (Imam krv vo urinata)	May dugo ang ihi ko	Toi di dai co mau.	Mam krew w moczu	V mojem urinu je kri		Er zit bloed in mijn urine		
Ich habe Blut im Stuhl	هناك دم في البراز	There is blood in my faeces		Diskimda kan var.	J'ai du sang dans les selles	در مدفوع من خون وجود دارد	আমার পায়খানাতে রক্ত যাচ্ছে। 		Unë kam gjak në jashtëqitje	Imam krvi u stolici.	Имам крви у измету. 	У меня кровь в фекалиях	Ho sangue nelle feci	Xwen la gui min haia.	Di nav guyê min de xwîn heye.	Jag har blod i avföringen./Det er blod i avføringen min.	Minulla on verta ulosteessa				میرے پے خانے  میں خون آ رہا ہے	C: Mám krev ve stolici. S: V mojej stolici je krv	Defeco con sangre	Veres a szekletem	Há sangue nas minhas fezes	Έχω αίμα στα κόπρανα μου.	Am sânge in scaun	Mám krev ve stolici.	Имам кръв в изпражненията.	Имам крв во столицата (Imam krv vo stolicata)	May dugo ang dumi ko	Toi di ia co mau.	Mam krew w stolcu	V mojem blatu je kri		Er zit bloed in mijn ontlasting		
Ich habe Blut erbrochen	هناك دم في القىء	There is blood in my vomit		Kustuğumda kan geliyor.	Je vomis du sang 	در استفراغ من خون وجود داره	আমার বমিতে রক্ত যাচ্ছে। 		Unë vjell gjak	Povratio sam krv.	Повратио/ла сам крв.	У меня кровь в рвоте	Ho sangue nel vomito		Dema ez divereşim xwîn tê.	Jag har blodiga kräkningar./Det er blod i oppkastet mitt.	Minulla on verta oksennuksessa				میری قہ یا الٹی میں خون ہے 	C: Zvracím krev. S: V mojich zvratkoch je krv	Vomito sangre	Vereset hanyok. 	Há sangue no meu vómito	 Έκανα εμετό με αίμα.	Vomit cu sânge	Zvracím krev.	Повърнах кръв.	Повраќам крв (Povrakam krv)	May dugo ang suka ko	Toi bi non mau.	Wymiotuję krwią	V mojem bruhanju je kri		Ik heb bloed overgegeven		
Ich huste Blut	 سعالي يحتوي على دم	I am coughing up blood		Öksürdüğümde kan geliyor.	Je crache du sang	من خون سرفه میکنم	আমার কাশিতে রক্ত উঠছে। 		Unë nxjerr gjak kur kollitem	Iskašljavam krv.	Искашљавам крв.	Кашляю кровью	Tossisco sangue	Min xwen akokam.	Dema ez dikuxûm xwîn tê.	Jag hostar blod./Jeg hoster opp blod.	Yskin verta				مجھے خونی کھانسی ہے 	C: Kašlu krev. S: Kaslem krv	Estoy tosiendo sangre	Vereset kohogok.	Tusso sangue	 Έφτυσα αίμα καθώς έβηχα.	Tusesc cu sânge	Kašlu krev.	Кашлям кръв.	Кашлам крв (Kaslam krv)	Umuubo ako ng dugo	Toi bi ho mau.	Kaszlę krwią	Kašljam kri		Ik hoest bloed op		
Ich blute aus dem After	انزف من فتحة الشرج	I am bleeding from my anus		Makatımdan kan geliyor.	Je saigne de l'anus	از مقعد خونریزی دارم	আমার পায়ুপথে রক্ত যাচ্ছে। 		Unë kam gjakderdhje nga anusi	Krvarim iz rektuma (anusa).	Крварим из ректума. 	У меня кровь течет из ануса/заднего прохода	Sanguino dall'ano		Ji qûna min xwîn tê.	Jag blöder från analen./Jeg blør fra anus.	Vuodan verta peräaukostani				میرے مقعد میں خون آریا ہے 	C: Krvácím z konečníku S: Krvacam z konecniku	Me sangra el ano	Verzik a végbélnyílásom.	Estou a sangrar do meu anús 	 Έχω  αιμορραγία από τον πρωκτό μου.	Sângerez la fund	Krvácím z análního otvoru.	Кървя от ануса.	Крварам од анусот (Krvaram od anusot)	Nagdurugo ang butas ng puwit ko	Toi bi chay mau o mong. 	Krwawię z odbytu	Krvavim iz anusa		Er komt bloed uit mijn anus		
Ich habe Nasenbluten	انزف من انفي	I have a nosebleed		Burnum kanıyor.	Je saigne du nez	از بینی‌ خونریزی دارم	আমার নাক থেকে রক্ত পড়ছে। 		Unë kam gjakderdhje nga hunda	Curi mi krv iz nosa.	Крвари ми нос./Иде ми крв на нос.	У меня кровь течет из носа	Sanguino dal naso	Luti min xweni ledet.	Xwîn ji bêvila min tê.	Jag har näsblod./Jeg blør fra nesen.	Minulla on nenäverenvuotoa				میرے ناک میں سے خون نکلا 	C: Krvácím z nosu S: Krvacam z nosa	Me sangra la nariz	Verzik az orrom.	Tenho sangramento nasal	 Έχω αιμορραγία στη μύτη.	Sângerez pe nas	Teče mi krev z nosu.	Тече ми кръв от носа.	Ми тече крв од носот (Mi tece krv od nosot)	Nagdudugo ang ilong ko	Toi bi mau cam.	Leci mi krew z nosa	Iz nosa mi teče kri		Ik heb een bloedneus		
Ich habe Zwischenblutungen	لدي نزيف في فترات ما بين الدورة الشهرية	I am bleeding between my periods		Regl dönemlerim arasında kanamam oluyor.	Je saigne entre mes menstruations	خونریزی‌های مکرر دارم	আমার মাসিকের মাঝে রক্ত পড়ছে। 		Unë kam gjakderdhje midis periudhave mestruale	Krvarim između menstruacija.	Крварим између менструација.	У меня кровь течет между месячными	Ho perdite intramestruali		Di navbera ketina bênimêjiyên min de xwîn ji min tê.	Jag har mellanblödningar./Jeg blør mellom menstrasjonene mine.	Vuodan verta kuukautisten välissä				مجھے ایام ماہواری کے درمیاٍن بھی خون نکلتا ہے 	C: Krvácím mezi peridami S: Krvácam medzi periódami	Sangro / tengo hemorragias cuando no estoy menstruando	Verzem akkor is, ha nem menstrualok.	Estou a sangrar entre os meus períodos 	 Έχω αιμορραγία στη μέση της περιόδου\του κύκλου	Sângerez intre menstruatii	Krvácím mezi menstruacemi.	Кървя между менструационни цикли.	Крварам меѓу менструации (Krvaram megju menstruacii)	Nagdurugo ako sa gitna ng regla ko		Krwawię między okresami	Krvavim tudi med dvema obdobjema menstruacije		Ik verlies bloed tussen mijn menstruaties		
